,description
AntaresSimulatorTeam,
virianproject,
dielibel,
microfocusbbn,
decc,Department for Energy Security & Net Zero
greenonblack,"We are a software consultancy based in Brighton, England. Our strengths are in solving complex problems and in visualising data."
cookbooks,
lanl,
lanl-ansi,Los Alamos Advanced Network Science Initiative
C4Coin,Building a carbon-negative public blockchain providing the first viable economic incentive to retire voluntary carbon credits.
Exiv2,Image metadata library and tools
GENeSYS-MOD,
gridlab-d,GridLAB-D is a distribution level power system simulator designed to allow users to create and analyze smart grid technologies.
a-team,
remoteoss,"Remote helps with international payroll, benefits, taxes, stock options, and compliance for businesses big and small!"
Climact,Empowering you to act on climate change
indibit-eu,
DARC-e-V,
puzzle,
openhab,
jungeFische,
witteveenbos,
openclimatefix,Using open science to mitigate climate change
Digitalized-Energy-Systems,We are a research group of the University of Oldenburg in Germany dedicated to the resilient operation of digitalized energy systems.
ibpsa,International Building Performance Simulation Association
OpenHybridSim,OpenHybridSim:An open source tool for Electromagnetic Transient (EMT)-Transient Stability (TS) hybrid simulation
codeformuenster,
Green-Wave,
tibeerorg,Just a test organization of @tibeer
terraformbuch,
JerichoCompany,
TheProject004,
GridFlex,
thomas-server,
Flexus-Energy,
Azure,"APIs, SDKs and open source projects from Microsoft Azure"
JuliaLang,The Julia Programming Language
JuliaGPU,GPU Computing in Julia
JuliaGraphics,
JuliaCI,Continuous integration (CI) support for the Julia programming language
JuliaGeometry,Computational Geometry with Julia
JuliaIO,A collection of Julia packages for unified IO infrastructure
HolyLab,None
JuliaImages,Julia packages for image processing
JuliaPackaging,Tooling for Julia's binary packages and dependencies
JuliaMath,Mathematics made easy in Julia
JuliaArrays,Custom array types (and utilities for building array types) for Julia
JuliaGizmos,A garage in dimension c-137
JuliaCollections,"Collections, Data Structures, and Algorithms for Julia"
JuliaRegistries,
JuliaLinearAlgebra,A collection of linear algebra packages for the Julia Programming Language.
JuliaDebug,
JuliaGtk,
juliamatlab,Includes everything that is related between Julia and Matlab!
julia-actions,An organisation to host and maintain GitHub Actions useful for Julia projects.
JuliaPerf,
JuliaNeuroscience,Flexible neuroinformatics tools built on high performance computational tools.
JuliaHealth,"Using the Julia programming language to improve medicine, health care, public health, and biomedical research."
AdvancedScientificComputingInJuliaWashU,
calliope-project,A multi-scale energy systems modelling framework
openmod-initiative,
repolicy,
JuliaEnergy,
itesla,
thehackerwithin,
SoftwareDefinedBuildings,
coin-or,Computational Infrastructure for Operations Research.
conda-forge,"A community led collection of recipes, build infrastructure and distributions for the conda package manager."
JuliaSmoothOptimizers,Infrastructure and Solvers for Continuous Optimization in Julia
JuliaOptimizationVariationalAnalysis,Tools and solvers for optimization and variational analysis problems in Julia
jso-docs,
SolverStoppingJulia,Packages related to using Stopping for iterative solvers in Julia
microsoft,Open source projects and samples from Microsoft
codelayerhq,
kinicles,
BlocksInMotion,
openborders,
CPS-IT,
aspec-german,
internationalasexualityday,
DataKind-UK,
nismod,
colouring-london,"Now under ""Colouring Cities"""
ClimateCompatibleGrowth,
MSCG,
EpicGames,
ES-Tec,
rweekly,
ok-dk,Danish local group of Open Knowledge
LibratechAI,AI for the legal system of tomorrow
ClojureBridgeAmsterdam,
mediquest-nl,Improving healthcare with data
robotology,Group software repositories of the iCub eco-system (but code developed is not necessarily iCub specific!).
robotology-playground,"🚧 experimental, not stable and not mantained repositories that may be eventually hosted in the robotology GitHub organization 🚧"
RoboStack,Maintaining cross-platform ROS packages for conda and mamba
icub-tech-iit,iCub Tech Facility at Istituto Italiano di Tecnologia
mamba-org,
gridlab-d,GridLAB-D is a distribution level power system simulator designed to allow users to create and analyze smart grid technologies.
JuliaStochOpt,Stochastic Optimization in Julia
sintefore,An organization for the public available software developed by the research group
Maritime-Robotics-Student-Society,
MaritimeRenewable,
WRSC,World Robotic Sailing Championship
powsybl,Power System Blocks
ImperialCollegeLondon,Imperial College London main code repository
FrancisCrickInstitute,
goehringlab,Polarity and Patterning Networks Lab at the Francis Crick Institute
Fuinn,
f3l,
Kinovarobotics,
RoboticsDesignLab,The Robotics Design Lab
trinity-tech,
twisted,
nju-lug,
LAMDA-RL,We are a fork of reinforcement learning researchers from LAMDA Group @ Nanjing University.
openstreetmap,
osmlab,
GIScience,🌍 HeiGIT and GIScience at Heidelberg University are engaged in research and opensource development at the interface between geography and computational science
BikeCitizens,
osmfoundation,
disastermappers-heidelberg,
Mutantcat-Working-Group,我们承诺软件安全、可靠、不强制更新！
Dao-AILab,We are an AI research group led by Prof. Tri Dao
NTMC-Community,
JuliaGraphics,
awegroup,
aenarete,
OpenSourceAWE,
ICT4SD,Coding together for the Sustainable Development Goals
MYZAI,Seeking new ways through mathematical AI
ginmon,
oemof,Open Energy Modelling Framework - A modular open source framework to model energy supply systems
wind-python,
open-fred,open Feed-in time series based on a Renewable Energy Database
oemof-heat,Modelling energy systems with focus on heat and power-to-heat using oemof
reegis,
ScienceBasedTargets,
UniDank,Progetti del corso di Informatica L-31 ad UniPa
cheshire-cat-ai,
STEllAR-GROUP,
RDCEP,
alumNY,This is an older github org we used to use for hackNY stuff. We now use github.com/hackny.
elm-lang,Official organization for developing Elm's compiler and core tools
hack-at-uchicago,
SecCEN,Machine learning to Cyber security tasks at Scale
cen-labs,
Fum-Tech,
powsybl,Power System Blocks
MaREI-EPMG,
r-spatial,"For packages raster, terra, dismo & geosphere visit the rspatial github organisation (mind the missing '-')"
ls1intum,"Technical University of Munich - School of Computation, Information and Technology"
seapath,
igsegg,The Early-career Glaciologists Group (EGG) of the International Glaciological Society (IGS)
GEUS-Glaciology-and-Climate,GEUS Department of Glaciology and Climate
GEUS-SICE,Pre-operational Sentinel-3 snow and ice products (SICE)
GlacioHack,
AMAP-Arctic,
cryo-data,Cryospheric data acess via Git and DataLad
APECS-Earth-Observation,
autonomous-phase-sensitive-radar,A community of users of ApRES (autnonomous phase-sensitive radio-echo sounder)
Machine-Learning-in-Glaciology-Workshop,"Workshop on Machine Learning applied to Glaciology, hosted at the Finse research station (Norway)"
CryoInTheCloud,
openosmia,
Open-Power-System-Data,
Joulia-jl,We moved to JuliaEnergy
JuliaEnergy,
ARM-DOE,
CxxTest,
gcovr,
Pyomo,
SpeedyWeather,We reinvent atmospheric modelling.
TUM-PIK-ESM,Earth System Modelling Group at TUM / Future Lab Artificial Intelligence in the Anthropocene at PIK
UARENForecasting,
pvlib,
conda-forge,"A community led collection of recipes, build infrastructure and distributions for the conda package manager."
DandI-Group,
CastroRegionalClimateGroup,
CLIMAS-UA,
openpvtools,
SolarArbiter,
SolarPerformanceInsight,
GridOptiSolutions,
redite,we just got bored
damarseta,@widnyana's playground
Dakarlug,
flexiblepower,FAN is open standard and implementation that connects devices with energy management services.
sensorstorm,
grassrootseconomics,Grassroots Economics facilitates the development of resilient economies and thriving communities through the creation of community asset vouchers
atto-byte,
ordino-ai,
Harambee-Dev,:building_construction:
tydoc,The TypeScript documenter that meets you where you are
ermongroup,
sailinglab,
dragonfly,
fusion-ml,
self-optimizing-systems,
naszilla,
realworldml,
uncertainty-toolbox,"A python toolbox for predictive uncertainty quantification, calibration, metrics, and visualization."
TorchUQ,
LLM360,
willjschmitt-codeu-2018,
UCL,To join the organisation contact UCL's Advanced Research Computing Centre via MyServices
SALib,Sensitivity analysis library for systems modeling
OSeMOSYS,Open-source Energy Modelling System
nismod,
exafree,An orginization for open source software
xo-energy,
Spilett-new-technologies-GmbH,"Projekten in den Bereichen Erneuerbare Energien, Wasserstofftechnologie, Mobilität und gesellschaftlicher Wandel."
GoodSpeech,
kpn,Official GitHub for the Koninklijke KPN N.V.
commitizen-tools,Manage your projects easily with the set of commitizen tools
openego,open electricity Grid optimization
juliakorea,Julia Korea organization
GridOPTICS,
golangid,
musobarlab,Powered by Musobar Media
telkomdev,Telkom DEV (Digital Product Engineering) open source projects (Powered By Telkom Indonesia)
x-compat,"Anything can happen, sharing - sharing bisa lah 😛"
denokdev,A self hosted Link Shortener
lowlevelid,
TJU-DRL-LAB,Offiical account of Tianjin University Deep Reinforcement Learning Lab
CADWR-Climate-Change-Program,DWR Climate Change Program addresses climate change impacts through mitigation and adaptation measures to ensure that Californians have an adequate water supply
zavalab,The Scalable Systems Lab at UW-Madison
grifflug,
PPOE,
my-stage,
AcubeSAT,AcubeSAT is a CubeSat nanosatellite to culture cells in-orbit and probe changes in gene expression
EMTech-AUTh,The Hellenic Space Dawn space mission involving a constellation of nanosatellites. This hosts FOSS developed by the Aristotle University of Thessaloniki
julia-lang-athens,"This organization is about the Julia users group based in Athens, Greece."
gafusion,Theory group code repository
Parsl,"Parsl: Enabling easy parallelism on clusters, clouds and supercomputers."
UGM-EPSLab,
refugeetech,
JuliaOpt,(Obsolete organization; see github.com/jump-dev) Mathematical Optimization in Julia
JuliaGeo,Geospatial packages for Julia
Digital-Structures,
tdcosim,PSSE + OpenDSS + DER co-simulation project
monatized,
powsybl,Power System Blocks
pangeo-data,A community effort for big data geoscience
catalyst-cooperative,Catalyst is a small data engineering cooperative working on electricity regulation and climate change.
reactive-structures,
reactive-redux,
reactive-components,
coding-armadillo,
sait-data-475,
GWA-grid-team,Goldwind Australia grid team enterprise workspace
CPES-Power-and-Energy-Systems,"INESC TEC’s leading actor in the decarbonization of the energy system, electrification of the society, and increased energy efficiency."
sanyuankexie,GUET Student Association of Science and Technical
bioperl,"Free and Open Source Perl tools for bioinformatics, genomics, and life science"
PDLPorters,"PDL (""Perl Data Language"") gives standard Perl the ability to compactly store and speedily manipulate large N-dimensional data arrays"
CougarCS,CougarCS ❤️ Computer Science
SnapSyllabus,
eclectic-extractions,
Perl5-Alien,"This is the old home of alienfile + Alien::Base + Alien::Build, please see the new org: https://github.com/PerlAlien"
HoustonHackers,
oh-uhouston,
perl-grimoire,
project-renard,
EntropyOrg,
orbital-transfer,
primordial-soup,"Scraping, transformation, etc."
EntropyOrg-staging,
bluebonnet,"remote storage / VFS (rclone, freenet)"
EntropyOrg-web,
EntropyOrg-data,
UHCodeRED,
NacrePerl,
CBL-ORION,
wearehx,
project-renard-survey,Survey of software for @project-renard
ikiwiki-dakine,
orbital-transfer-survey,Survey of software for @orbital-transfer
zmughal-CPAN,CPAN modules (Perl 5/7) maintained by @zmughal
perl-actions,actions helper for Github workflows
PerlAlien,Create and use non-Perl dependencies for CPAN
PerlFFI,Libraries and tools for developing FFI bindings in Perl
zmughal-contrib,Contributions by @zmughal
DesmosomeOrg,A binding body
Perl-OpenMP,Perl and OpenMP. What could possibly go right.
perlrdf,Modules for working with RDF using Perl
Perl-GPU,"Perl, OpenGL, and other hardware acceleration libraries"
Estivador,CloudOps afficiados
ARMfarm,Modular multiple Arm® Cortex® 64-bit CPUs based server system running Linux and scalable Kubernetes cluster
Team-Neighborhood,All We Are Neighborhood
wakanda-ai,
geultto,
MLOpsKR,
